MORE:Ranker,MOGONET:Ranker,lasso,mean_rank
hsa-miR-551b,PLEKHM2,hsa-miR-595,hsa-miR-595
CDK18,cg22740835,hsa-miR-26a,hsa-miR-26a
cg22534509,cg20300246,hsa-let-7b,hsa-let-7b
hsa-miR-151-5p,cg06690548,hsa-miR-1286,hsa-miR-1286
hsa-miR-891b,PRELP,hsa-miR-197,hsa-miR-197
hsa-miR-192,PTPRF,hsa-miR-651,hsa-miR-651
MXI1,hsa-miR-152,hsa-miR-381,hsa-miR-381
ITPRID2,DOCK1,hsa-let-7f,hsa-let-7f
cg14851685,MTMR10,hsa-miR-383,hsa-miR-383
ADRA1D,hsa-miR-107,hsa-miR-206,hsa-miR-206
cg27104271,hsa-miR-139-5p,hsa-miR-154,hsa-miR-154
hsa-miR-2114,hsv1-miR-H1,hsv1-miR-H3,hsv1-miR-H3
LINC00310,hsa-let-7f,hsa-miR-539,hsa-miR-539
HMG20B,cg16382322,hsa-miR-34c-5p,hsa-miR-34c-5p
cg09656934,hsa-miR-26a,hsa-miR-186,hsa-miR-186
cg21838334,cg25947945,hsa-miR-584,hsa-miR-584
hsa-miR-106b,cg24670715,hsa-miR-544,hsa-miR-544
hsa-miR-494,SYT5,hsa-miR-331-3p,hsa-miR-331-3p
hsa-miR-152,TRIP10,hsa-miR-137,hsa-miR-137
hsa-miR-30a,hsa-miR-490-5p,hsa-miR-199a-5p,hsa-miR-199a-5p
hsa-miR-376a,cg00174500,COL27A1,COL27A1
ERBIN,cg18669381,CSRP1,CSRP1
cg05232889,hsa-miR-660,SLC6A9,SLC6A9
GPER1,cg05973262,PRKCG,PRKCG
hsa-miR-140-5p,cg12120741,PRELP,PRELP
LINC00515,EMD,PNMA5,PNMA5
hsa-miR-485-3p,kshv-miR-K12-4-5p,PLXNB1,PLXNB1
cg03972838,hsa-miR-1979,PLK2,PLK2
hsa-miR-769-5p,hsa-miR-320a,PLEKHB1,PLEKHB1
hsa-miR-19b,hsa-miR-31,PIEZO2,PIEZO2
hsa-miR-34c-5p,hsa-miR-376c,PHYHIP,PHYHIP
hsa-miR-539,hsa-miR-15a,PHF19,PHF19
TMCC3,hcmv-miR-UL70-3p,PCYOX1L,PCYOX1L
hsa-miR-21,cg16361890,OR7E14P,OR7E14P
cg12981137,hsa-miR-191,hsa-miR-320a,hsa-miR-320a
cg24765079,cg19954000,OGA,OGA
hsa-miR-375,hsa-miR-664,ODC1,ODC1
cg16003238,CLMN,NUMBL,NUMBL
ZNF704,GPER1,NRXN3,NRXN3
MAP4K3-DT,hsa-miR-330-3p,NRIP2,NRIP2
cg15789095,IQGAP1,NPTXR,NPTXR
ERI3,RASSF2,NDE1,NDE1
KLHL5,hsa-miR-518e,MYOT,MYOT
hsa-miR-1,cg19125606,MXI1,MXI1
TEAD2,cg11504740,MTMR10,MTMR10
cg00534274,SCN3B,MRGPRF,MRGPRF
cg03389133,cg13334277,MRAS,MRAS
hsa-miR-633,hsa-miR-516a-3p,MPV17L2,MPV17L2
hsa-miR-346,hsa-miR-873,MID1IP1,MID1IP1
cg26509022,hsa-miR-767-5p,PREX1,PREX1
hsa-miR-154,hsa-miR-200a,PRKX,PRKX
hsa-miR-204,ebv-miR-BART8,MCM7,MCM7
cg25903497,cg02932167,PRR13,PRR13
ARHGEF37,cg06933965,SLC6A12,SLC6A12
cg10313673,cg07193504,SLC5A11,SLC5A11
hsa-miR-889,PRKCG,SLC4A11,SLC4A11
hsa-miR-1260,hsa-miR-103,SLC44A1,SLC44A1
cg14600885,hsa-let-7e,SLC43A3,SLC43A3
cg12052765,OLMALINC,SLC38A2,SLC38A2
cg20870559,hsa-miR-1299,SLC30A3,SLC30A3
hsa-miR-423-3p,hsa-miR-522,SLC25A48,SLC25A48
hsa-miR-216a,LINC02217,SLC25A18,SLC25A18
hsa-miR-1308,OGA,SH2D5,SH2D5
LNCBRM,cg03400060,SEPTIN5,SEPTIN5
cg15626350,DBI,SCN3B,SCN3B
hsa-miR-24,hsa-miR-455-3p,SCN2B,SCN2B
cg06946880,ITPKB,SCG3,SCG3
cg20217872,cg05256043,SAMD4A,SAMD4A
cg21494776,hsa-miR-106a_hsa-miR-17,S100A4,S100A4
cg00727590,hsa-let-7i,RUSF1,RUSF1
hsa-miR-186,hsa-miR-218,RPSAP69,RPSAP69
cg23674882,hsa-miR-376a,hsa-miR-487b,hsa-miR-487b
cg09382492,cg01869233,RIPOR3,RIPOR3
hsa-miR-660,CEDORA,RHOQ,RHOQ
hsa-miR-522,hsa-miR-128,RBP4,RBP4
hsa-miR-361-5p,cg17506742,hsa-miR-219-5p,hsa-miR-219-5p
LINC02552,hsa-miR-34c-5p,hsa-miR-590-5p,hsa-miR-590-5p
DYNC1LI2,hsa-miR-10b,PRSS16,PRSS16
GPCPD1,hsa-miR-1180,hsa-miR-15b,hsa-miR-15b
cg23616741,hsa-let-7b,MAST3,MAST3
cg16970828,cg23349242,hsa-miR-29c,hsa-miR-29c
hsa-miR-139-5p,hsa-miR-454,INPPL1,INPPL1
hsa-miR-431,MAST3,ICAM5,ICAM5
cg11052143,hsa-miR-27a,hsa-miR-656,hsa-miR-656
LINC01485,hsa-miR-504,HSPA2,HSPA2
cg17398613,hsa-miR-99a,HPCA,HPCA
SCN3B,hsa-miR-199a-5p,HOPX,HOPX
cg05245515,hsa-miR-584,HMGN2,HMGN2
cg12793610,cg18986273,HMG20B,HMG20B
cg02654291,cg00095526,HIGD1B,HIGD1B
SMIM10L2B,hsa-miR-1912,GPER1,GPER1
hsa-let-7e,hsa-miR-1246,GPCPD1,GPCPD1
cg15984661,hsa-miR-517c_hsa-miR-519a,GLI1,GLI1
PLEKHB1,cg00534274,GIPR,GIPR
hsa-miR-103,hsa-miR-203,GAREM2,GAREM2
hsa-miR-1979,cg00745735,FOXO4,FOXO4
MTMR10,hsa-miR-379,FANCC,FANCC
cg10942056,hsa-miR-484,FAM107B,FAM107B
cg12845808,cg22282672,EZR,EZR
hsa-miR-1246,hsa-miR-340,ERI3,ERI3
cg03852570,cg05697249,ERFE,ERFE
cg26200585,KCNJ10,ERBIN,ERBIN
cg05668853,hsa-miR-494,EMD,EMD
cg00204262,hsa-miR-192,ELP2,ELP2
hsa-miR-548j,hsa-miR-34b,DYNC1LI2,DYNC1LI2
cg22585988,cg20217872,DOCK1,DOCK1
EMD,hsa-miR-885-5p,DNAJC18,DNAJC18
hsa-miR-153,hsa-miR-500_hsa-miR-501-5p,INPP5D,INPP5D
cg00498305,MRAS,IP6K3,IP6K3
SLC38A2,cg14600885,MARCHF8,MARCHF8
cg27243140,cg03003745,IQCK-AS1,IQCK-AS1
hsa-miR-25,hsa-miR-219-5p,MAP4K4,MAP4K4
hsa-miR-769-3p,MARCHF8,LY86-AS1,LY86-AS1
cg22472290,hsa-miR-151-3p,LINC03013,LINC03013
RPL29,hsa-miR-2117,LINC02552,LINC02552
CEP83,cg26509022,LINC02217,LINC02217
hsa-miR-15b,DOCK5,LINC01736,LINC01736
hsa-miR-362-3p,cg09382492,LINC01664,LINC01664
C22orf46P,cg19368582,LINC01007,LINC01007
COL27A1,hsa-miR-221,LINC00926,LINC00926
QDPR,hsa-miR-485-5p,LINC00515,LINC00515
SLC6A12,cg25076881,LINC00507,LINC00507
WBP2,SLC44A1,LINC00310,LINC00310
FANCC,ZCCHC17,LGMN,LGMN
cg05429895,hsa-miR-539,LDLRAP1,LDLRAP1
ZCCHC17,cg12845808,KLHL5,KLHL5
cg05898524,cg22442730,KIF5B,KIF5B
hsa-miR-520e,ITPRID2,KIF5A,KIF5A
MEIS3,hsa-miR-452,KIF13B,KIF13B
hsa-miR-500_hsa-miR-501-5p,hsa-miR-410,KCNJ16,KCNJ16
hsa-miR-484,hsa-miR-99b,KCNJ10,KCNJ10
LINC02217,FAM107B,KANK2,KANK2
PREX1,SCG3,ITPRID2,ITPRID2
cg25947945,ZNF441,ITPKB,ITPKB
RPSAP69,PRR13,ISYNA1,ISYNA1
cg14072120,hsa-miR-346,IQGAP1,IQGAP1
cg06344807,hsa-miR-122,cg06117855,cg06117855
